ID,Title,Authors,Journal,Year,N citations,Group,Taxa,Description condition,Sample size,Setting,Location,Type of feeding site,Diet,N feeding sites,Available/used,NN distance (m),Renewal,Observation method #1,Observation method #2,Observation method #3,Metric type #1,Metric #1,Metric type #2,Metric #2,Metric type #3,Metric #3,Exclusion of revisits,Repetitiveness score,Included
57A,Practice makes proficient: pigeons (Columba livia) learn efficient routes on full-circuit navigational traveling salesperson problem,"D. M. Baron, A. J. Ramirez, V. Bulitko, C. R. Madan, A. Greiner, P. L. Hurd, M. L. Spetch",Animal Cognition,2015,7,Birds,Pigeons,5 goals,6,Experimental,Indoor,Artificial,Omnivore,5,Available,"0,32",After each bout,Video,,,Repetitiveness,Route repeated x times,,,,,No,4,yes
57A,Practice makes proficient: pigeons (Columba livia) learn efficient routes on full-circuit navigational traveling salesperson problem,"D. M. Baron, A. J. Ramirez, V. Bulitko, C. R. Madan, A. Greiner, P. L. Hurd, M. L. Spetch",Animal Cognition,2015,7,Birds,Pigeons,6 goals,6,Experimental,Indoor,Artificial,Omnivore,6,Available,"0,32",After each bout,Video,,,Repetitiveness,Route repeated x times,,,,,No,4,yes
99,"Behavioral response races, predator–prey shell games, ecology of fear, and patch use of pumas and their ungulate prey","Laundre, J. W",Ecology,2010,156,Large carnivores,Pumas,,29,Natural,Outdoor,Natural,,,None,,Natural,Radio telemetry,,,Recursion,Site recursion analysis,,,,,,1,no
279,"Quantifying animal movement for caching foragers: the path identification index (PII) and cougars, Puma concolor","Ironside KE, Mattson DJ, Theimer T, Jansen B, Holton B, Arundel T, Peters M, Sexton JO, Edwards TC Jr.",Mov Ecol,2017,12,Large carnivores,Pumas,,6,Natural,Outdoor,Natural,,,None,,Natural,GPS,,,Recursion,Straightness index,Recursion,Site fidelity index,,,,1,no
284,Visitation of artificial watering points by the red fox (Vulpes vulpes) in semiarid Australia,"Roshier DA, Signer J, Carter A.",Ecol Evol,2021,2,Large carnivores,Red fox,,22,Natural,Outdoor,Natural,,,None,5000,Natural,GPS,Video,,Recursion,Site recursion analysis,,,,,,1,no
282,Mesoscale movement and recursion behaviors of Namibian black rhinos,"Seidel DP, Linklater WL, Kilian W, Preez PD, Getz WM.",Mov Ecol,2019,9,Large herbivores,Rhinoceros,,59,Natural,Outdoor,Natural,,,None,,Natural,GPS,,,Recursion,Site recursion analysis,,,,,,1,no
92,Response of foraging sheep to variability in the spatial distribution of resources,"Hewitson, L., B. Dumont, and I. Gordon",Animal Behaviour,2005,54,Large herbivores,Sheeps,,18,Experimental,Outdoor,Artificial,Herbivore,7,Available,3,After each bout,Visual observations,,,Repetitiveness,N first visits in common,,,,,No,0,yes
92A,Spatial memory of sheep at pasture,"Dumont B., Petit M.",Applied Animal Behaviour Science,1998,90,Large herbivores,Sheeps,Small array,12,Experimental,Outdoor,Artificial,Herbivore,136,Available,3 - 6,After each bout,Visual observations,,,Repetitiveness,N first visits in common,,,,,No,1,yes
92A,Spatial memory of sheep at pasture,"Dumont B., Petit M.",Applied Animal Behaviour Science,1998,90,Large herbivores,Sheeps,Large array,12,Experimental,Outdoor,Artificial,Herbivore,136,Available,3 - 6,After each bout,Visual observations,,,Repetitiveness,N first visits in common,,,,,No,2,yes
35,Large-range movements of neotropical orchid bees observed via radio telemetry,"Wikelski M, Moxley J, Eaton-Mordas A, López-Uribe MM, Holland R, Moskowitz D, Roubik DW, Kays R.",PLoS One,2010,170,Insects,Solitary bees,,11,Natural,Outdoor,Natural,Nectarivore,,None,,Natural,Radio telemetry,,,Other,Qualitative,,,,,No,1,yes
95,Euglossine bees as long-distance pollinators of tropical plants,"Janzen, D",Science,1971,975,Insects,Solitary bees,,,Natural,Outdoor,Natural,Nectarivore,,None,70,Natural,Visual observations,,,Other,Qualitative,,,,,No,4,yes
478,Micro-foraging routes of Bicolletes pampeana (Colletidae) and bee-induced pollen presentation in Cajophora arechavaletae (Loasaceae),"Schlindwein, C; Wittmann, D",BOTANICA ACTA,1997,39,Insects,Solitary bees,,,Natural,Outdoor,Natural,Nectarivore,,None,,Natural,Visual observations,,,Other,Qualitative,,,,,,3,yes
482,Plant-pollinator interactions in the understory of a lowland mixed dipterocarp forest in Sarawak,"Kato, M",AMERICAN JOURNAL OF BOTANY,1996,135,Insects,Solitary bees,,,Natural,Outdoor,Natural,Nectarivore,,None,,Natural,Visual observations,,,Other,Qualitative,,,,,,4,yes
7B,"Foraging decisions during nectar feeding by tamarin monkeys (Saguinus mystax and Saguinus fuscicollis, Callitrichidae, Primates) in Amazonian Peru",Garber PA,Biotropica,1988,167,Primates,Tamarin monkeys,,11,Natural,Outdoor,Natural,Omnivore,10,Available,"70,4",Natural,Visual observations,,,Other,Qualitative,,,,,No,3,yes
25,Mild movement sequence repetition in five primate species and evidence for a taxonomic divide in cognitive mechanisms,"Kumpan LT, Vining AQ, Joyce MM, Aguado WD, Smeltzer EA, Turner SE, Teichroeb JA.",Sci Rep,2022,0,Primates,Various primates,,44,Experimental,Both,Artificial,Omnivore,6,Available,1,After each bout,Visual observations,,,Repetitiveness,Similarity index (DET),,,,,No,2,yes
302,A Quantitative Framework for Identifying Patterns of Route-Use in Animal Movement Data,"Alavi, S. E., Vining, A. Q., Caillaud, D., Hirsch, B. T., Havmøller, R. W., Havmøller, L. W., ... & Crofoot, M. C.",Frontiers in Ecology and Evolution,2022,1,Primates,Various primates,,46,Natural,Outdoor,Natural,Omnivore,,None,,Natural,GPS,,,Repetitiveness,Routine index,Recursion,Site recursion analysis,,,,2,yes
296,Foraging vervet monkeys optimize travel distance when alone but prioritize high-reward food sites when in competition.,"Teichroeb, J. A., & Aguado, W. D. ",Animal Behaviour,2016,14,Primates,Vervet monkeys,,4,Experimental,Outdoor,Artificial,Omnivore,5,Available,5,After each bout,Visual observations,,,Repetitiveness,N different routes,,,,,,2,yes
143,Assessing the risk for an obligate scavenger to be dependent on predictable feeding sources,"Fluhr J,Benhamou S,Riotte-Lambert L,Duriez O",Biological Conservation,2017,28,Birds,Vultures,,15,Natural,Outdoor,Natural,Scavenger,73,Available,1000,Natural,GPS,,,Recursion,Site recursion analysis,Repetitiveness,Routine index,,,No,2,yes
300,Territory surveillance and prey management: Wolves keep track of space and time.,"Schlägel, U. E., Merrill, E. H., & Lewis, M. A. ",Ecology and Evolution,2017,33,Large carnivores,Wolves,,6,Natural,Outdoor,Natural,,,None,,Natural,GPS,,,Other,Comparison with model,,,,,,1,no
